"id";"title";"artist";"lyrics"
"0";"Garota de Ipanema";"Tom Jobim";"Olha que coisa mais linda
Mais cheia de graça
É ela menina
Que vem e que passa
Num doce balanço
A caminho do mar
Moça do corpo dourado
Do sol de Ipanema
O seu balançado é mais que um poema
É a coisa mais linda que eu já vi passar
Ah, por que estou tão sozinho?
Ah, por que tudo é tão triste?
Ah, a beleza que existe
A beleza que não é só minha
Que também passa sozinha
Ah, se ela soubesse
Que quando ela passa
O mundo inteirinho se enche de graça
E fica mais lindo
Por causa do amor (3x)
Por causa do amor (2x)
Ah, se ela soubesse
Que quando ela passa
O mundo inteirinho se enche de graça
E fica mais lindo
Por causa do amor (3x)"
"1";"Construção";"Chico Buarque";"Amou daquela vez como se fosse a última Beijou sua mulher como se fosse a última E cada filho seu como se fosse o único E atravessou a rua com seu passo tímido Subiu a construção como se fosse máquina Ergueu no patamar quatro paredes sólidas Tijolo com tijolo num desenho mágico Seus olhos embotados de cimento e lágrima Sentou pra descansar como se fosse sábado Comeu feijão com arroz como se fosse um príncipe Bebeu e soluçou como se fosse um náufrago Dançou e gargalhou como se ouvisse música E tropeçou no céu como se fosse um bêbado E flutuou no ar como se fosse um pássaro E se acabou no chão feito um pacote flácido Agonizou no meio do passeio público Morreu na contramão atrapalhando o tráfego Amou daquela vez como se fosse o último Beijou sua mulher como se fosse a única E cada filho como se fosse o pródigo E atravessou a rua com seu passo bêbado Subiu a construção como se fosse sólido Ergueu no patamar quatro paredes mágicas Tijolo com tijolo num desenho lógico Seus olhos embotados de cimento e tráfego Sentou pra descansar como se fosse um príncipe Comeu feijão com arroz como se fosse o máximo Bebeu e soluçou como se fosse máquina Dançou e gargalhou como se fosse o próximo E tropeçou no céu como se ouvisse música E flutuou no ar como se fosse sábado E se acabou no chão feito um pacote tímido Agonizou no meio do passeio náufrago Morreu na contramão atrapalhando o público Amou daquela vez como se fosse máquina Beijou sua mulher como se fosse lógico Ergueu no patamar quatro paredes flácidas Sentou pra descansar como se fosse um pássaro E flutuou no ar como se fosse um príncipe E se acabou no chão feito um pacote bêbado Morreu na contra-mão atrapalhando o sábado Por esse pão pra comer, por esse chão prá dormir A certidão pra nascer e a concessão pra sorrir Por me deixar respirar, por me deixar existir, Deus lhe pague Pela cachaça de graça que a gente tem que engolir Pela fumaça e a desgraça, que a gente tem que tossir Pelos andaimes pingentes que a gente tem que cair, Deus lhe pague Pela mulher carpideira pra nos louvar e cuspir E pelas moscas bicheiras a nos beijar e cobrir E pela paz derradeira que enfim vai nos redimir, Deus lhe pague 1971 © by Cara Nova Editora Musical Ltda."
"2";"Detalhes";"Roberto Carlos";"Não adianta nem tentar me esquecer
Durante muito tempo em sua vida eu vou viver
Detalhes tão pequenos de nós dois
São coisas muito grandes pra esquecer
E a toda hora vão estar presentes
Você vai ver
Se um outro cabeludo aparecer na sua rua
E isso lhe trouxer saudades minhas, a culpa é sua
O ronco barulhento do seu carro
A velha calça desbotada ou coisa assim
Imediatamente você vai lembrar de mim
Eu sei que um outro deve estar falando ao seu ouvido
Palavras de amor como eu falei, mas, eu duvido
Duvido que ele tenha tanto amor
E até os erros do meu português ruim
E nessa hora você vai lembrar de mim
À noite, envolvida no silêncio do seu quarto,
Antes de dormir você procura o meu retrato
Mas na moldura não sou eu quem lhe sorri
Mas você vê o meu sorriso mesmo assim
E tudo isso vai fazer você lembrar de mim
Se alguém tocar seu corpo como eu, não diga nada
Não vá dizer meu nome sem querer à pessoa errada
Pensando ter amor nesse momento, desesperada,
Você tenta até o fim
E até nesse momento você vai lembrar de mim
Eu sei que esses detalhes vão sumir na longa estrada
Do tempo que transforma todo amor em quase nada
Mas quase também é mais um detalhe
Um grande amor não vai morrer assim
Por isso, de vez em quando você vai
Vai lembrar de mim
Não adianta nem tentar me esquecer
Durante muito e muito tempo em sua vida eu vou viver"
"3";"Chega de Saudade";"João Gilberto";"Vai minha tristeza e diz a ela que Sem ela não pode ser Diz-lhe numa prece Que ela regresse Porque eu não posso mais sofrer Chega de saudade A realidade é que Sem ela não há paz, não há beleza é só tristeza E a melancolia que não sai de mim Não sai de mim, não sai Mas se ela voltar Se ela voltar, que coisa linda... Que coisa louca Pois há menos peixinhos a nadar no mar Do que os beijinhos que eu darei na sua boca Dentro dos meus braços Os abraços hão de ser milhões de abraços Apertado assim, colado assim, calado assim Abraços e beijinhos e carinhos sem ter fim Que é para acabar com esse negócio de viver longe de mim Vai minha tristeza e diz a ela que Sem ela não pode ser Diz-lhe numa prece Que ela regresse Porque eu não posso mais sofrer Chega de saudade A realidade é que Sem ela não há paz, não há beleza é só tristeza E a melancolia que não sai de mim Não sai de mim, não sai Mas se ela voltar Se ela voltar, que coisa linda... Que coisa louca Pois há menos peixinhos a nadar no mar Do que os beijinhos que eu darei na sua boca Dentro dos meus braços Os abraços hão de ser milhões de abraços Apertado assim, colado assim, calado assim Abraços e beijinhos e carinhos sem ter fim Que é para acabar com esse negócio de viver longe de mim Não quero mais esse negócio de você viver assim vamos deixar esse negócio de você viver sem mim"
"4";"Aquarela do Brasil";"Francisco Alves";"Brasil
Meu Brasil brasileiro
Meu mulato inzoneiro
Vou cantar-te nos meus versos
Ô Brasil, samba que dá
Bamboleio, que faz gingar
Ô Brasil, do meu amor
Terra de, Nosso Senhor
Brasil, Brasil
Pra mim, pra mim
Oh, abre a cortina do passado
Tira a Mãe Preta, do serrado
Bota o Rei Congo, no congado
Brasil, Brasil
Deixa, cantar de novo o trovador
A merencória luz da lua
Toda canção do meu amor
Quero ver a Sa Dona, caminhando
Pelos salões arrastando
O seu vestido rendado
Brasil, Brasil
Pra mim, pra mim
Brasil
Terra boa e gostosa
Da morena sestrosa
De olhar indiscreto
Ô Brasil, verde que dá
Para o mundo, se admirar
Ô Brasil, do meu amor
Terra de, Nosso Senhor
Brasil, Brasil
Pra mim, pra mim
Oh, esse coqueiro que dá côco
Onde eu amarro a minha rede
Nas noites claras de luar
Brasil, Brasil
Pra mim, pra mim
Oh, ouve essas fontes murmurantes
Aonde eu mato a minha sede
E onde a lua vem brincar
Oh, este Brasil lindo e trigueiro
É o meu Brasil, brasileiro
Terra de samba e pandeiro
Brasil, Brasil
Pra mim, pra mim"
"5";"Alegria, Alegria";"Caetano Veloso";"Caminhando contra o vento
Sem lenço, sem documento
No sol de quase dezembro
Eu vou
O sol se reparte em crimes
Espaçonaves, guerrilhas
Em Cardinales bonitas
Eu vou
Em caras de presidentes
Em grandes beijos de amor
Em dentes, pernas, bandeiras
Bomba e Brigitte Bardot
O sol nas bancas de revista
Me enche de alegria e preguiça
Quem lê tanta notícia
Eu vou
Por entre fotos e nomes
Os olhos cheios de cores
O peito cheio de amores vãos
Eu vou
Por que não, por que não
Ela pensa em casamento
E eu nunca mais fui à escola
Sem lenço, sem documento
Eu vou
Eu tomo uma coca-cola
Ela pensa em casamento
E uma canção me consola
Eu vou
Por entre fotos e nomes
Sem livros e sem fuzil
Sem fome sem telefone
No coração do brasil
Ela nem sabe até pensei
Em cantar na televisão
O sol é tão bonito
Eu vou
Sem lenço, sem documento
Nada no bolso ou nas mãos
Eu quero seguir vivendo, amor
Eu vou
Por que não, por que não"
"6";"As Rosas Não Falam";"Cartola";"Bate outra vez
Com esperanças o meu coração
Pois já vai terminando o verão enfim
Volto ao jardim
Com a certeza que devo chorar
Pois bem sei que não queres voltar para mim
Queixo-me às rosas, mas que bobagem
As rosas não falam
Simplesmente as rosas exalam
O perfume que roubam de ti, ai...
Devias vir
Para ver os meus olhos tristonhos
E, quem sabe, sonhar os meus sonhos
por fim"
"7";"Desafinado";"João Gilberto";"Se você disser que eu desafino amor
Saiba que isso em mim provoca imensa dor
Só privilegiados têm ouvido igual ao seu
Eu possuo apenas o que Deus me deu
Se você insiste em classificar
Meu comportamento de anti-musical
Eu mesmo mentindo devo argumentar
Que isto é bossa-nova, isto é muito natural
O que você não sabe nem sequer pressente
É que os desafinados também têm um coração
Fotografei você na minha Roleiflex
Revelou-se a sua enorme ingratidão
Só não poderá falar assim do meu amor
Este é o maior que você pode encontrar
Você com sua música esqueceu o principal
Que no peito dos desafinados
No fundo do peito bate calado
Que no peito dos desafinados
Também bate um coração"
"8";"Asa Branca";"Luiz Gonzaga";"Quando olhei a terra ardendo Qual fogueira de São João Eu perguntei a Deus do céu, ai Por que tamanha judiação? Que braseiro, que fornalha Nem um pé de plantação Por falta d'água, perdi meu gado Morreu de sede meu alazão Por falta d'água, perdi meu gado Morreu de sede meu alazão Inté mesmo a asa branca Bateu asas do sertão Entonce eu disse: Adeus, Rosinha Guarda contigo meu coração Entonce eu disse: Adeus, Rosinha Guarda contigo meu coração Hoje longe, muitas léguas Numa triste solidão Espero a chuva cair de novo Pra mim voltar pro meu sertão Espero a chuva cair de novo Pra mim voltar pro meu sertão Quando o verde dos teus olhos Se espalhar na plantação Eu te asseguro, não chore não, viu? Que eu voltarei, viu, meu coração? Eu te asseguro, não chore não, viu? Que eu voltarei, viu, meu coração?"
"9";"Eu Sei Que Vou Te Amar";"Vinicius de Moraes";"Eu sei que vou te amar
Por toda a minha vida eu vou te amar
Em cada despedida eu vou te amar
Desesperadamente
Eu sei que vou te amar
E cada verso meu será pra te dizer
Que eu sei que vou te amar
Por toda a minha vida
Eu Sei que vou chorar
A cada ausência tua eu vou chorar,
Mas cada volta Tua há de apagar
O que essa ausência tua me causou
Eu sei que vou sofrer
A eterna desventura de viver a espera
De viver ao lado teu
Por Toda a minha vida."
"10";"País Tropical";"Wilson Simonal";"Hahahahahahahahahaha Em homenagem à graça, à beleza, o charme e o veneno da mulher brasileira Moro Num país tropical Abençoado por Deus E bonito por natureza Em fevereiro (em fevereiro) Tem carnaval (tem carnaval) Tenho um fusca e um violão Sou Flamengo e tenho uma nega chamada Teresa Moro Num país tropical Abençoado por Deus E bonito por natureza Em fevereiro (em fevereiro) Tem carnaval (tem carnaval) Tenho um fusca e um violão Sou Flamengo e tenho uma nega chamada Teresa Sambaby, sambaby Posso não ser um band leader, pois é Mas lá em casa todos os meus amigos Meus camaradinhas, me respeitam, pois é Essa é a razão da simpatia, do poder, do algo mais e da alegria Por isso eu digo é que Moro Num país tropical Abençoado por Deus E bonito por natureza Em fevereiro (em fevereiro) Tem carnaval (tem carnaval) Tenho um fusca e um violão Sou Flamengo e tenho uma nega chamada Teresa Sou Flamengo e tenho uma nega chamada Teresa Eu sou Flamengo e não desfaço de ninguém Mas em cinco brasileiros, seis fãs o Flamengo tem Ha, ha, ha, ha! Mó Num pa tropi Abençoa por De E boni por nature, ma que bele Em fevere (em fevere) Tem carna, yeah! (tem carna) Tenho um fu e um vio Sou Flame e te uma ne chama Tere Sou Flame e te uma ne chama Tere Sou Flamengo e tenho uma nega chamada Teresa Sou Flamengo e tenho uma nega chamada Teresa Eu sou Flamengo e não desfaço de ninguém Mas em cinco brasileiros, seis fãs o Flamengo tem Ooh Sou Flamengo e tenho uma nega chamada Teresa"
"11";"Roda Viva";"Chico Buarque";"Tem dias que a gente se sente
Como quem partiu ou morreu
A gente estancou de repente
Ou foi o mundo então que cresceu
A gente quer ter voz ativa
No nosso destino mandar
Mas eis que chega a roda-viva
E carrega o destino pra lá
Roda mundo, roda-gigante
Roda-moinho, roda pião
O tempo rodou num instante
Nas voltas do meu coração
A gente vai contra a corrente
Até não poder resistir
Na volta do barco é que sente
O quanto deixou de cumprir
Faz tempo que a gente cultiva
A mais linda roseira que há
Mas eis que chega a roda-viva
E carrega a roseira pra lá
Roda mundo (etc.)
A roda da saia, a mulata
Não quer mais rodar, não senhor
Não posso fazer serenata
A roda de samba acabou
A gente toma a iniciativa
Viola na rua, a cantar
Mas eis que chega a roda-viva
E carrega a viola pra lá
Roda mundo (etc.)
O samba, a viola, a roseira
Um dia a fogueira queimou
Foi tudo ilusão passageira
Que a brisa primeira levou
No peito a saudade cativa
Faz força pro tempo parar
Mas eis que chega a roda-viva
E carrega a saudade pra lá
Roda mundo (etc.)
1967 © by Editora Musical Arlequim Ltda."
